,FLIGHT_COUNT,AGE,GENDER,avg_discount,Points_Sum,AVG_INTERVAL
13791,14,34.0,0,0.7598898559999999,15347,53.07692308
13792,21,34.0,0,0.733714568,13667,31.0
13793,19,46.0,0,0.658850035,12842,31.88888889
13795,15,55.0,0,0.7290159390000001,15727,43.85714286
13797,18,38.0,0,0.695627313,13180,34.11764706
13798,19,49.0,0,0.7,13470,28.55555556
13813,12,38.0,1,0.840710211,14781,50.0
13815,15,46.0,0,0.681061252,14121,45.92857143
13819,12,50.0,0,0.7204791229999999,13678,38.18181818
13827,14,46.0,0,0.663124199,12150,51.46153846
13839,9,43.0,0,0.699125195,14963,44.25
13840,18,30.0,0,0.685330922,13993,31.47058824
13845,21,42.0,0,0.6941004759999999,11670,33.95
13851,17,43.0,0,0.7066781390000001,14621,42.0
13853,13,37.0,0,0.7407172040000001,14326,54.66666667
13858,16,47.0,0,0.783937957,15460,44.13333333
13868,3,46.0,0,0.785883113,13781,134.0
13870,12,39.0,0,0.678333333,12984,58.45454545
13882,14,36.0,1,0.7363015709999999,14457,52.61538462
13887,14,48.0,0,0.666273903,14290,52.38461538
13891,18,45.0,0,0.838930616,15538,40.0
13900,12,49.0,0,1.066570837,14932,50.63636364
13912,24,46.0,0,0.733009457,15378,30.04347826
13913,14,42.0,0,0.6939043340000001,13881,29.76923077
13919,17,48.0,0,0.739096414,14271,39.5625
13923,27,48.0,0,0.744333494,14366,25.11538462
13924,18,46.0,0,0.6970437359999999,14509,40.35294118
13928,28,47.0,0,0.674617558,13614,24.0
13933,21,45.0,0,0.759540462,15091,27.55
13948,17,33.0,0,0.805187123,13213,37.8125
13956,25,40.0,0,0.695508074,13064,28.33333333
13958,19,30.0,1,0.747178242,13687,37.88888889
13965,14,35.0,0,0.763146853,14751,43.53846154
13978,12,38.0,0,0.906201887,14601,63.63636364
13986,23,40.0,0,0.6884203879999999,10657,26.86363636
13990,17,50.0,0,0.75579456,15634,39.25
13991,10,56.0,0,0.715513765,15319,71.44444444
13994,14,53.0,1,0.670910463,12030,52.38461538
14008,13,48.0,0,0.812339913,15353,45.08333333
14010,16,32.0,0,0.8187091759999999,15150,34.8
14011,17,33.0,1,0.665405459,15064,43.8125
14014,15,57.0,0,0.664962548,13629,28.0
14020,12,34.0,0,0.774271675,13402,53.81818182
14022,23,48.0,0,0.670961309,12955,32.59090909
14024,12,32.0,1,0.80383823,14464,37.18181818
14027,25,38.0,0,0.801131762,14616,29.20833333
14039,16,35.0,0,0.7220045429999999,13680,42.73333333
14043,13,31.0,1,0.6827617659999999,11674,54.0
14057,14,31.0,0,0.927706645,15356,46.46153846
14062,20,43.0,0,0.694621706,15098,35.31578947
14063,12,36.0,1,0.668168997,14530,47.54545455
14071,19,33.0,0,0.680888583,14858,39.11111111
14075,19,33.0,0,0.700603635,13735,33.33333333
14089,20,42.0,0,0.8077318840000001,15419,18.05263158
14102,6,39.0,0,1.001655432,15625,42.4
14114,11,37.0,0,0.7952466709999999,14988,56.7
14126,5,28.0,1,0.897324773,14842,83.5
14140,21,50.0,0,0.688211279,13834,31.4
14150,18,35.0,0,0.8719191709999999,15279,29.11764706
14152,15,48.0,0,0.765693568,14892,30.78571429
14170,14,44.0,0,0.700705093,14191,39.23076923
14176,21,39.0,0,0.7240383029999999,14033,36.5
14179,14,57.0,0,0.963039769,14418,52.38461538
14180,20,39.0,1,0.7485529320000001,14574,24.0
14199,13,44.0,0,0.7783076059999999,13687,49.58333333
14200,7,32.0,1,0.779314403,13936,47.0
14202,3,30.0,1,0.7333333329999999,8997,189.5
14207,18,47.0,0,0.8549420870000001,15139,32.47058824
14208,14,46.0,0,0.685202103,13458,40.46153846
14224,13,47.0,1,0.887502929,15532,42.83333333
14228,8,30.0,0,0.91370805,15105,81.14285714
14234,18,46.0,1,0.697048659,13090,33.70588235
14237,17,41.0,0,0.8032466970000001,13318,35.4375
14270,17,53.0,0,0.7096345000000001,14229,36.75
14273,15,47.0,0,0.7246899259999999,14020,50.57142857
14277,16,48.0,0,0.7525267259999999,13937,46.33333333
14294,14,37.0,0,0.749867125,13570,45.46153846
14308,13,30.0,0,0.739131773,14540,49.58333333
14316,18,42.0,0,0.648924095,13181,31.76470588
14318,16,64.0,1,0.6566049629999999,11304,38.8
14319,16,43.0,0,0.71686675,12126,34.06666667
14321,16,52.0,1,0.791847566,14250,40.26666667
14323,18,36.0,0,0.736524485,14083,37.58823529
14324,20,57.0,0,0.736573094,13547,32.31578947
14330,20,60.0,0,0.808585942,14413,37.84210526
14331,3,50.0,1,0.726589562,13497,110.5
14340,19,51.0,0,0.6468664239999999,14481,39.38888889
14361,18,59.0,0,0.654030075,11938,37.23529412
14363,16,44.0,1,0.8317362859999999,15121,25.86666667
14370,11,48.0,0,0.916377961,13635,46.7
14386,22,49.0,0,0.74458668,14246,32.23809524
14391,15,53.0,1,0.670468217,14860,45.21428571
14394,17,36.0,1,0.771166074,15001,31.375
14397,21,52.0,0,0.674036457,12771,29.9
14404,17,45.0,0,0.7057804609999999,12030,40.0625
14406,16,56.0,0,0.646609791,14675,40.46666667
14413,15,45.0,0,0.73467386,14369,50.35714286
14424,12,56.0,0,0.75468634,12639,56.18181818
14426,20,38.0,1,0.689843325,12827,35.94736842
14439,18,43.0,0,0.716414421,15277,37.82352941
14440,11,37.0,0,0.6734323959999999,13233,39.0
14441,16,40.0,0,0.664448079,13632,36.0
14453,20,41.0,1,0.7128655070000001,14232,27.31578947
14455,9,36.0,0,0.694655085,11688,61.5
14459,19,46.0,0,0.781567956,12541,27.5
14465,14,54.0,0,0.7471771079999999,13909,30.30769231
14472,9,55.0,0,0.658879701,13200,62.875
14474,16,36.0,0,0.674846828,12196,40.46666667
14485,20,48.0,0,0.7418957559999999,13330,32.15789474
14503,15,44.0,1,0.7781524059999999,14178,48.5
14509,19,42.0,0,0.6362764679999999,11551,37.11111111
14516,16,30.0,1,0.7181740809999999,14236,36.06666667
14528,11,57.0,0,0.662604399,13111,50.6
14531,15,41.0,0,0.935077741,14519,9.142857143
14534,17,36.0,0,0.8528058190000001,14562,25.6875
14536,24,50.0,0,0.7843005129999999,13267,27.47826087
14538,16,45.0,0,0.700343085,14177,46.6
14543,15,37.0,0,0.766066557,15402,25.64285714
14547,20,49.0,0,0.6689822320000001,13232,31.78947368
14548,14,44.0,0,0.785141745,15025,48.84615385
14561,4,29.0,1,0.648079289,14464,150.0
14563,15,39.0,0,0.6903686790000001,15473,33.42857143
14566,11,18.0,0,0.695454545,11172,50.4
14570,17,37.0,0,0.6518981429999999,12293,29.125
14576,12,44.0,0,0.745888,12894,58.81818182
14577,16,38.0,1,0.7304329140000001,14914,46.73333333
14582,14,54.0,0,0.7268679259999999,13147,42.0
14590,16,43.0,0,0.984291923,15512,36.13333333
14595,15,44.0,1,0.715917355,14531,41.28571429
14598,13,47.0,0,0.716917528,13596,57.0
14600,9,52.0,0,0.728705567,10607,83.25
14601,14,51.0,0,0.701856158,12851,34.53846154
14608,24,41.0,0,0.6977001159999999,13357,28.73913043
14609,15,53.0,1,0.6830604709999999,12922,46.0
14612,20,47.0,0,0.694696298,13757,31.36842105
14617,18,48.0,0,0.631988665,11809,38.23529412
14619,14,30.0,0,0.639049974,12588,32.38461538
14624,13,46.0,0,0.74623647,14625,54.91666667
14625,16,52.0,0,0.663992001,13125,42.26666667
14633,19,35.0,0,0.7152420740000001,13084,34.27777778
14640,13,41.0,0,0.647300633,11424,53.25
14643,14,46.0,0,0.751438147,14321,50.76923077
14649,17,36.0,0,0.675965555,12887,37.0
14651,13,35.0,0,0.8930061009999999,15422,52.91666667
14653,19,42.0,1,0.743842455,14579,38.83333333
14656,19,47.0,0,0.688966483,14499,31.05555556
14665,19,32.0,0,0.700666062,15281,34.61111111
14680,12,50.0,0,0.64835185,12133,49.63636364
14682,14,52.0,0,0.652275305,11352,41.84615385
14691,12,48.0,0,0.650269164,11294,54.36363636
14693,15,46.0,0,0.787585403,14637,50.64285714
14703,13,40.0,1,0.779871455,14169,24.91666667
14704,21,34.0,0,0.784791182,14758,34.5
14707,14,36.0,0,0.786046591,13908,44.23076923
14708,3,25.0,1,0.7098777070000001,13497,113.0
14722,15,40.0,1,0.793192042,13647,40.78571429
14726,18,37.0,0,0.749198185,14559,33.70588235
